scheme,name,total,hit,miss,IPC
both,bzip2,3210,537,2673,0.576127 
both,graph,2686,133,2553,0.461524 
both,libquantum,99989,320,99669,0.362301 
both,mcf,143271,13642,129629,0.0714658 
both,xalancbmk,31814,0,31814,0.218621 
ehc,bzip2,3210,537,2673,0.576127 
ehc,graph,2686,133,2553,0.461524 
ehc,libquantum,99989,1789,98200,0.365325 
ehc,mcf,143269,16970,126299,0.0724553 
ehc,xalancbmk,31814,0,31814,0.218621 
hawkeye,bzip2,3210,537,2673,0.576127 
hawkeye,graph,2686,133,2553,0.461524 
hawkeye,libquantum,99989,1789,98200,0.365325 
hawkeye,mcf,143274,20070,123204,0.0733021 
hawkeye,xalancbmk,31814,0,31814,0.218621 
lru,bzip2,3210,537,2673,0.576127 
lru,graph,2686,133,2553,0.461524 
lru,libquantum,99989,49994,49995,0.343669 
lru,mcf,143272,43062,100210,0.0718282 
lru,xalancbmk,31814,0,31814,0.218621 
perceptron,bzip2,3210,537,2673,0.576127 
perceptron,graph,2686,133,2553,0.461524 
perceptron,libquantum,99989,320,99669,0.362301 
perceptron,mcf,143272,15805,127467,0.0720956 
perceptron,xalancbmk,31814,0,31814,0.218621 
